PHDs,Terminal,S.F. Ratio,Expend,GradRate
70,78,18.1,7041,60
29,30,12.2,10527,56
53,66,12.9,8735,54
92,97,7.7,19016,59
76,72,11.9,10922,15
67,73,9.4,9727,55
90,93,11.5,8861,63
89,100,13.7,11487,73
79,84,11.3,11644,80
40,41,11.5,8991,52
82,88,11.3,10932,73
73,91,9.9,11711,76
60,84,13.3,7940,74
79,87,15.3,9305,68
36,69,11.1,8127,55
78,84,14.7,7355,69
93,98,8.4,21424,100
48,61,12.1,7994,59
62,66,11.5,10908,46
69,82,11.3,42926,48
55,65,12.7,6584,65
79,88,12.6,14579,54
93,93,13.8,7100,88
65,65,12.8,7836,58
78,83,12.7,9220,71
66,70,10.4,6871,69
81,95,13,11361,71
59,67,22.4,6523,48
58,68,11,6136,65
68,74,17.6,8086,85
57,77,9.7,9337,71
98,98,10.4,13894,79
83,93,10.3,12580,91
76,78,12.6,9084,72
71,76,18.5,7503,72
78,89,12.2,8954,73
74,82,13.1,6668,84
78,85,13.2,7550,52
61,61,11.1,7614,49
87,95,11.1,12957,69
64,84,14.1,5922,58
35,59,10.1,16364,55
87,87,17.5,10941,82
80,80,16.3,10511,63
62,68,11.6,7718,48
61,80,8.8,8324,56
63,63,11.7,7623,35
48,48,13.8,6817,58
74,79,14,8649,72
76,76,14.3,8377,51
61,67,17.8,6259,53
76,71,13.3,9073,58
80,81,11.9,16836,72
93,96,11.2,20447,96
57,80,10.2,15387,46
75,81,14.4,7671,85
90,97,9.8,17150,84
71,80,13.7,5935,49
62,62,12.6,4900,18
39,66,13.1,8355,58
68,73,13.2,8655,82
76,76,20.5,7916,33
99,100,7.6,20440,97
100,100,12.3,17449,89
95,97,14.2,13675,93
62,69,8.8,6333,78
77,81,10.9,9511,83
59,76,16.5,7117,71
87,96,13.9,7922,55
72,74,12.4,8985,60
75,81,14.8,7786,81
77,77,21.8,3739,63
62,66,17.7,5391,49
90,92,14.6,7972,64
64,69,12.1,9557,83
10,50,12.1,7976,52
81,93,10.4,17960,91
86,93,9.2,24386,74
74,81,17.8,7666,79
61,62,13.6,6716,67
74,89,15.9,7364,62
95,95,2.9,19733,67
75,82,13.5,8425,55
90,96,9.3,12751,75
22,47,14.3,7697,118
58,83,11.7,10961,74
50,52,15.3,6897,64
41,85,9.5,9583,24
86,92,11.3,9685,66
8,58,6.8,13025,47
76,90,13.5,8444,67
62,62,15.2,3365,58
95,99,11.4,13118,74
72,80,12.8,12692,47
95,98,9.3,16095,52
71,71,8.3,7729,73
92,92,9.3,10922,58
81,81,11.1,8129,63
69,69,16.9,7083,21
99,99,9.6,18443,87
94,95,10.5,11951,79
67,71,11,7963,74
95,95,15.8,11659,77
73,86,12.7,10141,67
64,77,12.1,8741,75
83,94,10.2,15954,91
95,98,10.5,15494,93
56,62,12.9,8604,96
46,46,11.1,6889,100
75,77,11.9,10015,83
77,80,10.4,9773,43
64,64,11.5,7477,75
70,88,13.1,8847,72
63,87,11.5,7315,77
68,70,11.4,9447,78
66,71,14.3,6084,64
40,74,14,8820,80
53,53,9.5,6936,76
54,76,11.6,8996,72
92,96,11.3,12138,95
84,96,11.1,14140,69
85,97,11.3,14664,84
87,87,15.3,5015,37
61,77,14.7,8693,76
97,98,5.9,30639,99
69,75,12.8,6955,45
67,76,12.1,6875,42
55,60,13.1,8415,55
56,64,12.1,7309,75
86,95,10.7,14773,91
63,76,10.2,10965,75
71,76,12.2,10340,64
85,90,6.5,22906,85
51,52,14.1,5807,51
42,44,13,8189,63
68,68,14.6,6898,46
46,51,12.6,8686,54
61,61,22.2,8643,72
95,99,4.7,29619,98
95,97,12,17581,94
58,60,12.8,7505,56
88,97,11.6,12423,81
78,94,11.1,11525,82
87,94,11.2,13861,87
52,52,14.1,7566,61
67,72,15.1,6852,60
43,43,12.7,5480,54
61,60,12.5,7325,87
77,78,12.4,11178,42
88,93,15,9473,77
93,97,10.2,14907,83
82,92,13.2,9303,67
95,96,5,27206,97
90,94,10.6,14634,78
62,62,15.7,5619,38
60,60,13.6,8135,54
46,65,11.4,10188,82
58,58,17.3,6430,70
82,89,12.8,15003,59
65,68,12.8,9815,81
77,98,21.5,7502,64
71,71,11.3,8952,86
70,74,18.9,6329,63
37,43,16.5,12878,44
79,88,13.9,8061,82
97,98,5,28457,96
76,80,13.5,7527,67
62,87,10.6,9552,53
86,90,15.1,11220,94
53,58,12.5,7967,22
52,60,18.1,3930,69
90,90,10.6,8923,57
65,74,17.4,6339,68
45,55,21.5,4607,62
86,97,14.4,10864,80
57,69,14.9,6336,83
54,78,12.5,11751,60
50,56,17.6,6418,51
68,76,16.1,6078,62
59,59,10.5,8095,54
92,95,13.5,12940,82
47,51,13.3,7711,65
65,58,15.2,5664,29
67,67,20.1,6786,74
53,53,13.5,7136,52
92,93,7.6,14745,72
73,76,13.3,7508,55
91,92,7.2,19635,95
56,59,12.2,7348,76
94,95,12.1,14720,83
25,25,27.6,6081,36
78,90,14.7,9553,69
73,82,14.2,9226,66
51,56,9.9,10270,72
78,90,9.2,16623,77
53,59,15.3,9798,64
51,61,23.6,5609,47
77,83,14,6475,76
64,80,13,7949,39
57,61,14.3,8222,60
88,92,9.5,18979,83
65,65,18.4,4957,100
78,86,15.6,9114,65
79,89,12.5,9907,80
36,41,7.8,7483,96
91,96,9.6,17761,91
89,93,13,10296,65
95,97,13.3,12263,69
60,64,14,6791,70
84,84,10.6,9248,64
75,79,13.7,7054,38
71,77,17.7,6466,73
75,87,12.3,11625,73
97,97,9.9,37219,100
100,100,8.2,21569,100
57,63,13,7335,52
82,99,13.1,8588,63
80,80,12,12639,79
75,95,10.6,12165,79
99,99,12.1,13040,79
81,90,13.9,10093,60
78,91,11.1,13957,72
82,88,14.4,12434,72
72,81,12.5,9284,72
85,90,15,8187,67
63,72,11.4,7703,44
76,76,11.8,9466,47
31,35,12.9,9249,21
36,44,22,4923,84
81,91,11.6,8324,75
75,75,15.6,7348,52
80,88,12.3,12851,56
77,92,12.9,9605,83
56,64,11.2,7305,69
67,69,11.4,6095,95
49,51,39.8,6562,34
66,83,16,8107,66
58,79,11.5,9812,75
51,53,17,3186,54
68,68,13.3,8118,75
89,90,14.5,7738,89
96,97,3.3,56233,90
34,55,10.6,7840,56
97,97,12.7,12067,80
63,55,12.4,6535,68
57,65,11.3,7058,62
95,95,11.1,14067,88
55,94,13.3,7863,51
66,72,15.6,7649,87
65,68,10.7,8954,65
88,95,12.7,13224,79
57,73,14.2,7022,52
90,90,15.1,9084,84
93,96,10.5,15365,92
77,83,12.5,9067,75
91,94,10.7,15687,77
49,65,17.2,4054,57
61,61,16.1,5531,60
76,92,10.1,13965,77
89,92,13.3,8118,94
84,84,12.3,8196,85
96,99,12.5,14665,91
88,92,12,8539,66
