PHDs,Terminal,S.F. Ratio,Expend,GradRate
60,62,23.1,4010,34
83,96,18.3,5854,70
88,93,18.9,4602,48
57,60,19.6,4739,48
85,91,16.7,6642,69
57,62,19.6,3752,46
66,68,18,7041,75
81,89,21.1,6918,67
72,81,19.8,8453,59
90,90,21.2,7268,61
89,91,14.7,6318,79
69,73,16.7,4900,49
69,80,19.7,5501,50
67,89,18.1,6413,51
80,82,21.2,4639,48
82,88,18,7597,73
67,67,18.1,4417,46
73,78,17.2,4776,51
89,92,12.1,9534,93
87,89,19.2,7850,59
49,63,17.1,5113,58
50,64,16.5,4525,46
74,78,13.2,9002,58
73,75,14,9825,42
71,76,16.9,5719,50
62,71,16.2,5682,76
72,75,19.3,5527,50
75,78,18.1,8355,68
75,75,15.1,6972,24
81,96,13.9,6722,66
80,89,23.1,7250,58
89,97,19.1,4362,46
76,76,19.1,5039,43
93,96,19.3,6751,46
92,92,19.3,11271,70
87,89,19,7762,34
64,66,20.6,5063,57
77,84,21,5569,54
72,76,16.6,6996,40
77,88,21.3,8686,68
81,88,19.2,8420,65
77,81,17.9,5212,98
63,67,14.9,8367,26
80,91,14.4,6564,36
76,86,18.5,6122,54
73,73,16.1,6195,61
48,82,18.4,5879,26
67,77,17,6119,51
71,72,12.6,10912,45
47,55,16.1,6374,63
74,80,18.4,5553,62
83,87,15.9,6741,37
66,77,20,4546,45
48,65,12.6,7114,51
57,68,19,5801,68
75,80,17.6,5358,84
68,68,15.7,6971,51
48,48,28.8,3871,59
81,89,17.6,7846,85
93,95,14,10520,71
82,82,17,7473,65
72,74,16.8,7832,71
77,77,15.9,6223,53
49,54,15.8,5704,63
52,54,20.3,4172,100
71,71,16.4,6112,74
75,83,17.6,6324,37
82,87,21.5,6717,58
76,81,18.1,4795,60
72,76,20.2,5972,52
92,98,13.5,12529,72
99,100,13.7,9241,34
65,71,14.2,6562,57
72,72,16.7,7090,44
92,98,17.5,9670,62
79,83,17,6310,42
69,72,15.7,6601,76
78,83,21.7,6157,41
73,78,17.3,6086,56
62,65,21.7,5284,54
88,90,19.7,6637,53
79,87,20.4,8811,64
84,92,15.3,6433,48
77,77,15,6443,48
77,96,18.1,8992,63
48,100,20.1,4870,44
55,93,19.4,5967,35
86,86,18.2,8604,67
73,83,19.6,4519,62
74,95,17.8,7333,47
76,81,22.1,7252,51
90,95,19.5,10474,77
90,95,18.6,10134,57
90,95,17.4,11878,58
70,75,18.9,4629,58
73,75,17.9,5125,56
87,93,19.5,7930,41
80,83,18.8,6719,72
62,65,15,5084,67
75,76,17.1,5916,45
55,59,19.6,4444,53
76,81,16.5,7498,43
70,75,19.9,4632,56
58,75,16.5,6591,51
84,89,11.6,10357,63
78,92,19.5,5599,64
93,96,17.4,9075,74
83,100,18,8055,80
90,97,13.6,11177,56
91,96,10.5,13705,57
79,83,19,6632,49
69,85,22,5280,63
71,78,18.7,7511,42
82,85,17.8,5563,53
82,90,16.3,6442,66
79,84,19.1,5716,76
85,93,15.3,6608,53
80,90,17.9,6174,65
71,75,15.1,6436,59
80,100,14.9,8170,46
89,91,23.1,8471,69
103,88,17.4,6415,43
65,75,18.2,3605,10
95,94,17.1,7744,84
81,87,14.4,8504,81
73,78,19.2,5901,56
96,96,6.7,16352,33
73,89,14.8,6820,39
93,97,15.8,13919,78
96,96,16.1,15934,66
80,98,22.2,6742,46
89,95,10.8,13889,54
89,95,16,10178,71
88,97,13.4,14737,66
88,95,14.7,7881,63
85,87,11.8,12833,54
87,90,17.4,8559,81
82,84,10,13883,34
88,94,13.7,9657,57
84,92,11.1,10207,31
67,75,15.9,5712,59
46,46,15.1,5935,64
67,67,15.2,6408,35
82,88,18.4,7618,55
89,92,18.1,9021,63
88,92,16.7,10276,68
74,90,15,7462,56
90,98,11.5,14847,87
79,91,19,6393,53
74,78,14.6,6716,51
88,90,12.2,16122,45
81,86,20.3,6971,53
87,87,12.7,10145,58
88,88,14.4,9699,49
71,73,13.4,6433,48
72,72,18.9,5883,51
86,92,15.1,6813,53
89,87,17.5,7855,75
77,83,13,7011,37
88,93,8.9,15893,83
79,91,16.8,6227,62
75,94,15.5,7392,53
82,85,19.1,6005,55
97,97,15.9,9424,49
82,85,17.8,6104,47
86,94,22.6,5657,35
75,75,21.5,6309,40
78,82,16.3,6333,77
86,90,11.5,10244,44
79,87,19.7,8020,54
93,93,7.8,13789,66
84,89,16.6,9158,63
67,77,23.6,3864,43
62,62,14.8,5035,48
84,88,16.9,8246,63
84,89,17,11020,47
63,88,19.4,5389,36
56,65,22,4078,38
78,99,18.7,5917,45
86,92,16.5,8612,53
73,73,21,4696,29
91,99,19.7,7837,65
94,100,25.3,4329,50
89,93,12.8,9275,37
87,90,9.9,12646,79
90,92,9.5,13597,95
96,94,9,16527,65
83,87,23.4,8488,53
78,78,21,6254,65
75,81,15.2,6490,36
90,95,23.1,5559,67
81,89,22.2,5968,46
93,96,11.5,11006,72
79,87,15.9,8094,38
91,94,15.1,8745,45
39,41,14.9,4958,40
81,87,8.7,11183,45
61,63,16,5733,31
85,89,13.8,8944,73
84,87,16.9,10912,56
60,68,20.3,4550,52
76,79,15.3,6773,52
33,33,16.3,4249,60
67,78,14.6,6554,55
80,84,24.7,5983,55
76,79,19.4,4599,52
83,89,22.7,7203,61
75,79,15.7,4222,65
77,77,14.9,8837,87
53,60,20.2,5318,58
71,80,12.8,6729,59
60,60,21,4469,40
